Path	ctx-a	ctx-u	ctx-y	ctx-z	ctx-p	CPA
t39	1	2	3	4	5	1930
t17	1	2	3	4	5	490
t25	1	2	3	4	5	740
t39	1	2	3	5	4	1910
t17	1	2	3	5	4	490
t25	1	2	3	5	4	740
t39	1	2	4	3	5	1950
t17	1	2	4	3	5	490
t25	1	2	4	3	5	740
t39	1	2	4	5	3	1910
t17	1	2	4	5	3	490
t25	1	2	4	5	3	740
t39	1	2	5	3	4	1950
t17	1	2	5	3	4	490
t25	1	2	5	3	4	740
t39	1	2	5	4	3	1930
t17	1	2	5	4	3	490
t25	1	2	5	4	3	740
t39	1	3	2	4	5	1685
t17	1	3	2	4	5	490
t25	1	3	2	4	5	1040
t39	1	3	2	5	4	1705
t17	1	3	2	5	4	490
t25	1	3	2	5	4	1040
t39	1	3	4	2	5	1895
t17	1	3	4	2	5	490
t25	1	3	4	2	5	840
t39	1	3	4	5	2	1705
t17	1	3	4	5	2	490
t25	1	3	4	5	2	1040
t39	1	3	5	2	4	1895
t17	1	3	5	2	4	490
t25	1	3	5	2	4	840
t39	1	3	5	4	2	1685
t17	1	3	5	4	2	490
t25	1	3	5	4	2	1040
t39	1	4	2	3	5	1635
t17	1	4	2	3	5	490
t25	1	4	2	3	5	1090
t39	1	4	2	5	3	1505
t17	1	4	2	5	3	490
t25	1	4	2	5	3	1340
t39	1	4	3	2	5	1655
t17	1	4	3	2	5	490
t25	1	4	3	2	5	1090
t39	1	4	3	5	2	1470
t17	1	4	3	5	2	490
t25	1	4	3	5	2	1340
t39	1	4	5	2	3	1580
t17	1	4	5	2	3	490
t25	1	4	5	2	3	1040
t39	1	4	5	3	2	1590
t17	1	4	5	3	2	490
t25	1	4	5	3	2	1090
t39	1	5	2	3	4	1400
t17	1	5	2	3	4	490
t25	1	5	2	3	4	1340
t39	1	5	2	4	3	1410
t17	1	5	2	4	3	490
t25	1	5	2	4	3	1390
t39	1	5	3	2	4	1380
t17	1	5	3	2	4	490
t25	1	5	3	2	4	1340
t39	1	5	3	4	2	1370
t17	1	5	3	4	2	490
t25	1	5	3	4	2	1390
t39	1	5	4	2	3	1305
t17	1	5	4	2	3	490
t25	1	5	4	2	3	1340
t39	1	5	4	3	2	1320
t17	1	5	4	3	2	490
t25	1	5	4	3	2	1340
t39	2	1	3	4	5	1930
t17	2	1	3	4	5	840
t25	2	1	3	4	5	490
t39	2	1	3	5	4	1910
t17	2	1	3	5	4	840
t25	2	1	3	5	4	490
t39	2	1	4	3	5	1950
t17	2	1	4	3	5	840
t25	2	1	4	3	5	490
t39	2	1	4	5	3	1910
t17	2	1	4	5	3	840
t25	2	1	4	5	3	490
t39	2	1	5	3	4	1950
t17	2	1	5	3	4	840
t25	2	1	5	3	4	490
t39	2	1	5	4	3	1930
t17	2	1	5	4	3	840
t25	2	1	5	4	3	490
t39	2	3	1	4	5	1405
t17	2	3	1	4	5	910
t25	2	3	1	4	5	1160
t39	2	3	1	5	4	1425
t17	2	3	1	5	4	910
t25	2	3	1	5	4	1160
t39	2	3	4	1	5	1825
t17	2	3	4	1	5	560
t25	2	3	4	1	5	860
t39	2	3	4	5	1	1390
t17	2	3	4	5	1	840
t25	2	3	4	5	1	1090
t39	2	3	5	1	4	1825
t17	2	3	5	1	4	560
t25	2	3	5	1	4	860
t39	2	3	5	4	1	1250
t17	2	3	5	4	1	840
t25	2	3	5	4	1	1090
t39	2	4	1	3	5	1285
t17	2	4	1	3	5	910
t25	2	4	1	3	5	1210
t39	2	4	1	5	3	1030
t17	2	4	1	5	3	840
t25	2	4	1	5	3	1340
t39	2	4	3	1	5	1510
t17	2	4	3	1	5	560
t25	2	4	3	1	5	1110
t39	2	4	3	5	1	970
t17	2	4	3	5	1	770
t25	2	4	3	5	1	1220
t39	2	4	5	1	3	1470
t17	2	4	5	1	3	560
t25	2	4	5	1	3	1060
t39	2	4	5	3	1	1200
t17	2	4	5	3	1	840
t25	2	4	5	3	1	1140
t39	2	5	1	3	4	920
t17	2	5	1	3	4	770
t25	2	5	1	3	4	1320
t39	2	5	1	4	3	920
t17	2	5	1	4	3	770
t25	2	5	1	4	3	1320
t39	2	5	3	1	4	1235
t17	2	5	3	1	4	560
t25	2	5	3	1	4	1360
t39	2	5	3	4	1	920
t17	2	5	3	4	1	770
t25	2	5	3	4	1	1270
t39	2	5	4	1	3	1200
t17	2	5	4	1	3	560
t25	2	5	4	1	3	1310
t39	2	5	4	3	1	920
t17	2	5	4	3	1	770
t25	2	5	4	3	1	1270
t39	3	1	2	4	5	1605
t17	3	1	2	4	5	1260
t25	3	1	2	4	5	610
t39	3	1	2	5	4	1625
t17	3	1	2	5	4	1260
t25	3	1	2	5	4	610
t39	3	1	4	2	5	1875
t17	3	1	4	2	5	980
t25	3	1	4	2	5	530
t39	3	1	4	5	2	1625
t17	3	1	4	5	2	1260
t25	3	1	4	5	2	610
t39	3	1	5	2	4	1875
t17	3	1	5	2	4	980
t25	3	1	5	2	4	530
t39	3	1	5	4	2	1570
t17	3	1	5	4	2	1260
t25	3	1	5	4	2	610
t39	3	2	1	4	5	1405
t17	3	2	1	4	5	1260
t25	3	2	1	4	5	910
t39	3	2	1	5	4	1425
t17	3	2	1	5	4	1260
t25	3	2	1	5	4	910
t39	3	2	4	1	5	1825
t17	3	2	4	1	5	980
t25	3	2	4	1	5	580
t39	3	2	4	5	1	1390
t17	3	2	4	5	1	1190
t25	3	2	4	5	1	840
t39	3	2	5	1	4	1825
t17	3	2	5	1	4	980
t25	3	2	5	1	4	580
t39	3	2	5	4	1	1250
t17	3	2	5	4	1	1190
t25	3	2	5	4	1	840
t39	3	4	1	2	5	1205
t17	3	4	1	2	5	910
t25	3	4	1	2	5	1210
t39	3	4	1	5	2	690
t17	3	4	1	5	2	1050
t25	3	4	1	5	2	1300
t39	3	4	2	1	5	1195
t17	3	4	2	1	5	910
t25	3	4	2	1	5	1160
t39	3	4	2	5	1	690
t17	3	4	2	5	1	1050
t25	3	4	2	5	1	1300
t39	3	4	5	1	2	1120
t17	3	4	5	1	2	840
t25	3	4	5	1	2	1090
t39	3	4	5	2	1	1120
t17	3	4	5	2	1	840
t25	3	4	5	2	1	1090
t39	3	5	1	2	4	850
t17	3	5	1	2	4	840
t25	3	5	1	2	4	1290
t39	3	5	1	4	2	640
t17	3	5	1	4	2	1050
t25	3	5	1	4	2	1350
t39	3	5	2	1	4	850
t17	3	5	2	1	4	840
t25	3	5	2	1	4	1290
t39	3	5	2	4	1	640
t17	3	5	2	4	1	1050
t25	3	5	2	4	1	1350
t39	3	5	4	1	2	850
t17	3	5	4	1	2	840
t25	3	5	4	1	2	1290
t39	3	5	4	2	1	850
t17	3	5	4	2	1	840
t25	3	5	4	2	1	1290
t39	4	1	2	3	5	1535
t17	4	1	2	3	5	1330
t25	4	1	2	3	5	630
t39	4	1	2	5	3	1265
t17	4	1	2	5	3	1610
t25	4	1	2	5	3	710
t39	4	1	3	2	5	1480
t17	4	1	3	2	5	1330
t25	4	1	3	2	5	630
t39	4	1	3	5	2	1225
t17	4	1	3	5	2	1610
t25	4	1	3	5	2	710
t39	4	1	5	2	3	1440
t17	4	1	5	2	3	1260
t25	4	1	5	2	3	610
t39	4	1	5	3	2	1490
t17	4	1	5	3	2	1260
t25	4	1	5	3	2	610
t39	4	2	1	3	5	1265
t17	4	2	1	3	5	1330
t25	4	2	1	3	5	930
t39	4	2	1	5	3	900
t17	4	2	1	5	3	1470
t25	4	2	1	5	3	870
t39	4	2	3	1	5	1430
t17	4	2	3	1	5	1330
t25	4	2	3	1	5	680
t39	4	2	3	5	1	890
t17	4	2	3	5	1	1400
t25	4	2	3	5	1	850
t39	4	2	5	1	3	1360
t17	4	2	5	1	3	1260
t25	4	2	5	1	3	660
t39	4	2	5	3	1	1170
t17	4	2	5	3	1	1260
t25	4	2	5	3	1	810
t39	4	3	1	2	5	1205
t17	4	3	1	2	5	1330
t25	4	3	1	2	5	930
t39	4	3	1	5	2	690
t17	4	3	1	5	2	1400
t25	4	3	1	5	2	1050
t39	4	3	2	1	5	1195
t17	4	3	2	1	5	1260
t25	4	3	2	1	5	910
t39	4	3	2	5	1	690
t17	4	3	2	5	1	1400
t25	4	3	2	5	1	1050
t39	4	3	5	1	2	1120
t17	4	3	5	1	2	1190
t25	4	3	5	1	2	840
t39	4	3	5	2	1	1120
t17	4	3	5	2	1	1190
t25	4	3	5	2	1	840
t39	4	5	1	2	3	570
t17	4	5	1	2	3	1120
t25	4	5	1	2	3	1370
t39	4	5	1	3	2	570
t17	4	5	1	3	2	1120
t25	4	5	1	3	2	1370
t39	4	5	2	1	3	570
t17	4	5	2	1	3	1120
t25	4	5	2	1	3	1370
t39	4	5	2	3	1	570
t17	4	5	2	3	1	1120
t25	4	5	2	3	1	1370
t39	4	5	3	1	2	570
t17	4	5	3	1	2	1120
t25	4	5	3	1	2	1370
t39	4	5	3	2	1	570
t17	4	5	3	2	1	1120
t25	4	5	3	2	1	1370
t39	5	1	2	3	4	1100
t17	5	1	2	3	4	1610
t25	5	1	2	3	4	710
t39	5	1	2	4	3	1100
t17	5	1	2	4	3	1610
t25	5	1	2	4	3	710
t39	5	1	3	2	4	1090
t17	5	1	3	2	4	1610
t25	5	1	3	2	4	710
t39	5	1	3	4	2	1020
t17	5	1	3	4	2	1540
t25	5	1	3	4	2	690
t39	5	1	4	2	3	1020
t17	5	1	4	2	3	1540
t25	5	1	4	2	3	690
t39	5	1	4	3	2	1020
t17	5	1	4	3	2	1540
t25	5	1	4	3	2	690
t39	5	2	1	3	4	820
t17	5	2	1	3	4	1470
t25	5	2	1	3	4	870
t39	5	2	1	4	3	820
t17	5	2	1	4	3	1470
t25	5	2	1	4	3	870
t39	5	2	3	1	4	970
t17	5	2	3	1	4	1540
t25	5	2	3	1	4	740
t39	5	2	3	4	1	820
t17	5	2	3	4	1	1470
t25	5	2	3	4	1	870
t39	5	2	4	1	3	970
t17	5	2	4	1	3	1470
t25	5	2	4	1	3	720
t39	5	2	4	3	1	820
t17	5	2	4	3	1	1470
t25	5	2	4	3	1	870
t39	5	3	1	2	4	770
t17	5	3	1	2	4	1470
t25	5	3	1	2	4	920
t39	5	3	1	4	2	620
t17	5	3	1	4	2	1470
t25	5	3	1	4	2	1070
t39	5	3	2	1	4	770
t17	5	3	2	1	4	1470
t25	5	3	2	1	4	920
t39	5	3	2	4	1	620
t17	5	3	2	4	1	1470
t25	5	3	2	4	1	1070
t39	5	3	4	1	2	770
t17	5	3	4	1	2	1470
t25	5	3	4	1	2	920
t39	5	3	4	2	1	770
t17	5	3	4	2	1	1470
t25	5	3	4	2	1	920
t39	5	4	1	2	3	570
t17	5	4	1	2	3	1470
t25	5	4	1	2	3	1120
t39	5	4	1	3	2	570
t17	5	4	1	3	2	1470
t25	5	4	1	3	2	1120
t39	5	4	2	1	3	570
t17	5	4	2	1	3	1470
t25	5	4	2	1	3	1120
t39	5	4	2	3	1	570
t17	5	4	2	3	1	1470
t25	5	4	2	3	1	1120
t39	5	4	3	1	2	570
t17	5	4	3	1	2	1470
t25	5	4	3	1	2	1120
t39	5	4	3	2	1	570
t17	5	4	3	2	1	1470
t25	5	4	3	2	1	1120
